iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
LCG,A Coruña,24/08/2024,22.4°,16.2°,"1,4 mm",19.2 Km/h,77.4 %
LCG,A Coruña,25/08/2024,20.5°,15.7°,"0,4 mm",21.3 Km/h,78.8 %
LCG,A Coruña,26/08/2024,21.2°,16.3°,"1,5 mm",20.3 Km/h,79.3 %
LCG,A Coruña,27/08/2024,22°,16.7°,"1,8 mm",17.7 Km/h,79.5 %
LCG,A Coruña,28/08/2024,20.7°,16°,"1,7 mm",14.8 Km/h,81.3 %
LCG,A Coruña,29/08/2024,20.5°,15.8°,"3,8 mm",18 Km/h,82.7 %
LCG,A Coruña,30/08/2024,20.7°,15.7°,"0,9 mm",16.8 Km/h,80.7 %
LCG,A Coruña,31/08/2024,20.7°,15.3°,"0,4 mm",15.2 Km/h,83.3 %
LCG,A Coruña,1/09/2024,20.2°,15.5°,"4,3 mm",18 Km/h,82.3 %
LCG,A Coruña,2/09/2024,20.2°,15.2°,1 mm,22.2 Km/h,80 %
LCG,A Coruña,3/09/2024,22.3°,15.3°,"0,2 mm",20 Km/h,75 %
LCG,A Coruña,4/09/2024,21.5°,15.8°,"2,2 mm",22.3 Km/h,79.3 %
LCG,A Coruña,5/09/2024,20.8°,16.3°,"1,2 mm",24.2 Km/h,75 %
LCG,A Coruña,6/09/2024,21.5°,15.8°,"2,7 mm",21.2 Km/h,73.5 %
LCG,A Coruña,7/09/2024,21.3°,15.3°,"1,3 mm",21.2 Km/h,75.3 %
LCG,A Coruña,8/09/2024,21.3°,15.3°,"4,9 mm",19.2 Km/h,79.5 %
LCG,A Coruña,9/09/2024,20.6°,15.8°,"4,9 mm",17.8 Km/h,82.2 %
LCG,A Coruña,10/09/2024,20.7°,15.3°,"0,8 mm",16.8 Km/h,78.3 %
LCG,A Coruña,11/09/2024,21.2°,15.2°,"0,6 mm",16.2 Km/h,81.7 %
LCG,A Coruña,12/09/2024,20.8°,15.7°,"0,9 mm",19.3 Km/h,80.8 %
LCG,A Coruña,13/09/2024,22.3°,16.8°,"0,5 mm",20.5 Km/h,75.8 %
LCG,A Coruña,14/09/2024,22.2°,16.3°,"0,8 mm",16.8 Km/h,78.2 %
LCG,A Coruña,15/09/2024,22.3°,16.3°,"0,3 mm",19.2 Km/h,79 %
LCG,A Coruña,16/09/2024,22.5°,16.2°,"0,5 mm",21.5 Km/h,78 %
LCG,A Coruña,17/09/2024,21.4°,15.6°,8 mm,19.8 Km/h,79.8 %
LCG,A Coruña,18/09/2024,21.7°,15.3°,"3,3 mm",17 Km/h,76.8 %
LCG,A Coruña,19/09/2024,21.5°,14.7°,"1,7 mm",15.8 Km/h,80 %
LCG,A Coruña,20/09/2024,20.5°,15.2°,"2,9 mm",18.2 Km/h,80.2 %
LCG,A Coruña,21/09/2024,19.8°,14.8°,"4,1 mm",19.3 Km/h,81.5 %
LCG,A Coruña,22/09/2024,19.8°,14.3°,"1,4 mm",18.3 Km/h,78.8 %
LCG,A Coruña,23/09/2024,19.3°,14.5°,"4,8 mm",19.7 Km/h,81.3 %
LCG,A Coruña,24/09/2024,18.5°,14.3°,"4,6 mm",22.7 Km/h,79.3 %
LCG,A Coruña,25/09/2024,18.3°,14.7°,"5,5 mm",20.3 Km/h,80 %
LCG,A Coruña,26/09/2024,18.3°,13.7°,"5,2 mm",19.8 Km/h,81 %
LCG,A Coruña,27/09/2024,17.7°,14.3°,"3,5 mm",19.8 Km/h,80.7 %
LCG,A Coruña,28/09/2024,18.7°,13.2°,"0,4 mm",15.7 Km/h,76.3 %
LCG,A Coruña,29/09/2024,18.5°,14.2°,"1,4 mm",18.5 Km/h,82.2 %
LCG,A Coruña,30/09/2024,20.2°,14.3°,"1,2 mm",15.5 Km/h,82.8 %
LCG,A Coruña,1/10/2024,19.2°,14.8°,"2,7 mm",19.2 Km/h,84.5 %
LCG,A Coruña,2/10/2024,18.3°,14.7°,11 mm,24 Km/h,83.8 %
LCG,A Coruña,3/10/2024,18.2°,12.8°,"3,2 mm",20 Km/h,79.8 %
LCG,A Coruña,4/10/2024,18.8°,13.7°,"2,1 mm",17.2 Km/h,79 %
LCG,A Coruña,5/10/2024,19°,14°,"2,5 mm",20.3 Km/h,82.3 %
LCG,A Coruña,6/10/2024,19.8°,14.2°,"1,6 mm",17.3 Km/h,81.8 %
LCG,A Coruña,7/10/2024,20.2°,14.8°,"0,9 mm",15.7 Km/h,78.7 %
LCG,A Coruña,8/10/2024,20.8°,15.2°,"2,9 mm",15.8 Km/h,78.2 %
LCG,A Coruña,9/10/2024,19.3°,14.7°,"6,9 mm",20.7 Km/h,78.2 %
LCG,A Coruña,10/10/2024,19°,13.7°,"1,3 mm",18.7 Km/h,78.8 %
